"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"59","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","469","75%",,"13.1","554.1",,,,,"NA","NA"
"60","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","E0784","EXTERN AMBUL INSULIN INFUS PUMP","86","69%",,"33.7","474.1",,,,,"NA","NA"
"61","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4456","ADHESIVE REMOVER, WIPES, ANY TYPE, EACH","3","67%",,,"199.1",,,,,"NA","NA"
"62","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","Q4186","EPIFIX, PER SQ CM","4","50%",,"60.1","258.8",,,,,"NA","NA"
"63","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4253","BLOOD GLUCOSE/REAGENT STR","2","50%",,"1.2",,,,,,"NA","NA"
"64","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","E0781","EXTERNAL AMBULATORY INFUS","2","0%","50%","26.2","1,429.8",,,,,"NA","NA"
"65","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","469","0%","1%","13.1","554.1","0",,,,"NA","NA"
"66","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","E0784","EXTERN AMBUL INSULIN INFUS PUMP","86","0%","1%","33.7","474.1","0",,,,"NA","NA"
"67","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0553","SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE","49","100%",,,"18.8",,,,,"NA","NA"
"68","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A4230","INFUS INSULIN PUMP NON NEEDL","48","100%",,"3.4","22.6",,,,,"NA","NA"
"69","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A4232","SYRINGE W/NEEDLE INSULIN 3CC","28","100%",,,"16.4",,,,,"NA","NA"
"70","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","4","100%",,,"5.2",,,,,"NA","NA"
"71","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A6257","TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS","3","100%",,,"11.2",,,,,"NA","NA"
"72","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0554","RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS","132","90%",,,"33.9",,,,,"NA","NA"
"73","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0784","EXT AMB INFUSN PUMP INSULIN","22","86%",,,"41.1",,,,,"NA","NA"
"74","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","95250","Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor","32","38%",,,,,,,,"NA","NA"
"75","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A5120","SKIN BARRIER WIPES OR SWABS EACH","3","33%",,,"65",,,,,"NA","NA"
"76","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0553","SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE","49","100%",,,"18.8",,,,,"NA","NA"
"77","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A4230","INFUS INSULIN PUMP NON NEEDL","48","100%",,"3.4","22.6",,,,,"NA","NA"
"78","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A4232","SYRINGE W/NEEDLE INSULIN 3CC","28","100%",,,"16.4",,,,,"NA","NA"
"79","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","4","100%",,,"5.2",,,,,"NA","NA"
"80","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A6257","TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS","3","100%",,,"11.2",,,,,"NA","NA"
"81","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0554","RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS","132","90%",,,"33.9",,,,,"NA","NA"
"82","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0784","EXT AMB INFUSN PUMP INSULIN","22","86%",,,"41.1",,,,,"NA","NA"
