"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"8960","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0470","Respiratory assist device, bi-level pressure capability, without backup rate","13","84.62%",,,"4.690235043",,,"13",,"NA","NA"
"8961","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E1399","Durable Medical Equipment Mi","5","0%",,"1.443333333","0.35875",,"1","4",,"NA","NA"
"8962","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0486","Oral device/appliance cusfab","2","0%",,,"2.540138889",,,"2",,"NA","NA"
"8963","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2402","Negative pressure wound therapy electrical pump, stationary or portable","2","50%",,,"41.27930556",,,"2",,"NA","NA"
"8964","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E1236","Wheelchair, Pediatric Size, Folding, Adjustable, With Seating System","1","0%",,"2.2425",,,"1",,,"NA","NA"
"8965","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0973","Wheelchair Adjustabl Height","1","0%",,,"1.442222222",,,"1",,"NA","NA"
"8966","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0766","ELEC STIM CANCER TREATMENT","1","100%",,"27.06694444",,,"1",,,"NA","NA"
"8967","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0471","Respiratory assist device, bi-level pressure capability, with back-up rate","1","100%",,,"0.000277778",,,"1",,"NA","NA"
"8968","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E1028","Wheelchair accessory, manual swingaway, retractable or removable mounting hardware, other","1","0%",,,"1.442222222",,,"1",,"NA","NA"
"8969","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2510","Speech generating device, synthesized speech, permitting multiple methods","1","0%",,,"8.193333333",,,"1",,"NA","NA"
"8970","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0691","Ultraviolet Light Therapy System Panel, Includes Bulbs/Lamps, Timer An","1","0%",,,"23.18527778",,,"1",,"NA","NA"
"8971","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2619","Replace cover w/c seat cush","1","0%",,,"0.294444444",,,"1",,"NA","NA"
"8972","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0747","Elec Osteogen Stim Not Spine","1","0%",,,"51.39472222",,,"1",,"NA","NA"
"8973","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2512","Accessory for speech generating device, mounting system","1","0%",,,"8.193333333",,,"1",,"NA","NA"
"8974","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0748","Elec Osteogen Stim Spinal","1","0%",,,"0.0925",,,"1",,"NA","NA"
"8975","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0260","Hosp Bed Semi-Electr W/ Matt","1","0%",,,"21.63972222",,,"1",,"NA","NA"
"8976","Carrier I","2024","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0760","Osteogen Ultrasound Stimltor","1","0%",,,"1.544722222",,,"1",,"NA","NA"
"8977","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0766","ELEC STIM CANCER TREATMENT","1","100%",,"27.06694444",,,"1",,,"NA","NA"
"8978","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0471","Respiratory assist device, bi-level pressure capability, with back-up rate","1","100%",,,"0.000277778",,,"1",,"NA","NA"
"8979","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0601","Cont Airway Pressure Device","372","94.09%",,,"2.449742384","440.4642564",,"372","1","NA","NA"
"8980","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0470","Respiratory assist device, bi-level pressure capability, without backup rate","13","84.62%",,,"4.690235043",,,"13",,"NA","NA"
"8981","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2402","Negative pressure wound therapy electrical pump, stationary or portable","2","50%",,,"41.27930556",,,"2",,"NA","NA"
"8982","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E1399","Durable Medical Equipment Mi","5","0%",,"1.443333333","0.35875",,"1","4",,"NA","NA"
"8983","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0486","Oral device/appliance cusfab","2","0%",,,"2.540138889",,,"2",,"NA","NA"
"8984","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E1236","Wheelchair, Pediatric Size, Folding, Adjustable, With Seating System","1","0%",,"2.2425",,,"1",,,"NA","NA"
"8985","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0973","Wheelchair Adjustabl Height","1","0%",,,"1.442222222",,,"1",,"NA","NA"
"8986","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E1028","Wheelchair accessory, manual swingaway, retractable or removable mounting hardware, other","1","0%",,,"1.442222222",,,"1",,"NA","NA"
"8987","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2510","Speech generating device, synthesized speech, permitting multiple methods","1","0%",,,"8.193333333",,,"1",,"NA","NA"
"8988","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0691","Ultraviolet Light Therapy System Panel, Includes Bulbs/Lamps, Timer An","1","0%",,,"23.18527778",,,"1",,"NA","NA"
"8989","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2619","Replace cover w/c seat cush","1","0%",,,"0.294444444",,,"1",,"NA","NA"
"8990","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0747","Elec Osteogen Stim Not Spine","1","0%",,,"51.39472222",,,"1",,"NA","NA"
"8991","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2512","Accessory for speech generating device, mounting system","1","0%",,,"8.193333333",,,"1",,"NA","NA"
"8992","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0748","Elec Osteogen Stim Spinal","1","0%",,,"0.0925",,,"1",,"NA","NA"
"8993","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0260","Hosp Bed Semi-Electr W/ Matt","1","0%",,,"21.63972222",,,"1",,"NA","NA"
"8994","Carrier I","2024","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E0760","Osteogen Ultrasound Stimltor","1","0%",,,"1.544722222",,,"1",,"NA","NA"
"8995","Carrier I","2024","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2103","Non-adjunctive, non-implanted continuous glucose monitor or receiver","1","0%",,,"5.203055556",,,"1",,"NA","NA"
"8996","Carrier I","2024","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","A4239","Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service","1","0%",,,"2.074722222",,,"1",,"NA","NA"
"8997","Carrier I","2024","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2103","Non-adjunctive, non-implanted continuous glucose monitor or receiver","1","0%",,,"5.203055556",,,"1",,"NA","NA"
"8998","Carrier I","2024","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A4239","Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service","1","0%",,,"2.074722222",,,"1",,"NA","NA"
"8999","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","114","67.54%",,"13.16","14.95",,"31","83",,"HYDROCODONE-ACETAMINOPHEN","HYDROCODONE-ACETAMINOPHEN"
"9000","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","107","3.74%",,"5.1","7.11",,"8","99",,"SEMAGLUTIDE (WEIGHT MANAGEMENT)","WEGOVY"
"9001","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","107","65.42%",,"8.55","20.01",,"19","88",,"SEMAGLUTIDE","OZEMPIC (0.25 OR 0.5 MG/DOSE), OZEMPIC (1 MG/DOSE), OZEMPIC (2 MG/DOSE), RYBELSUS"
"9002","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","103","74.76%",,"5.96","27.27",,"36","67",,"OXYCODONE HCL","OXYCODONE HCL, OXYCODONE HCL ER, OXYCONTIN"
"9003","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","70","64.29%",,"7.29","6.75",,"3","67",,"CYCLOSPORINE (OPHTH)","CEQUA, CYCLOSPORINE, RESTASIS, RESTASIS MULTIDOSE, VEVYE"
"9004","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","68","0%",,"5.39","7.39",,"9","59",,"TIRZEPATIDE (WEIGHT MANAGEMENT)","ZEPBOUND"
"9005","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","54","74.07%",,"5.88","3.53",,"8","46",,"TIRZEPATIDE","MOUNJARO"
"9006","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","44","79.55%",,"4.41","46.12",,"5","39",,"RIMEGEPANT SULFATE","NURTEC"
"9007","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","44","97.73%",,"6.19","12.75",,"11","33",,"ADALIMUMAB","HUMIRA (2 PEN), HUMIRA (2 SYRINGE), HUMIRA-CD/UC/HS STARTER, HUMIRA-PED<40KG CROHNS STARTER"
"9008","Carrier I","2024","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","36","44.44%",,"20.26","9.22",,"4","32",,"LINACLOTIDE","LINZESS"
"9009","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","25","100%",,,"8.08",,"0","25",,"RISANKIZUMAB-RZAA","SKYRIZI, SKYRIZI PEN"
"9010","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","18","100%",,"4.65","2.98",,"4","14",,"PLECANATIDE","TRULANCE"
"9011","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","13","100%",,"2.07","4.73",,"2","11",,"SECUKINUMAB","COSENTYX SENSOREADY (300 MG), COSENTYX SENSOREADY PEN, COSENTYX UNOREADY"
"9012","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","11","100%",,"2.27","6.43",,"3","8",,"ETANERCEPT","ENBREL MINI, ENBREL SURECLICK"
"9013","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","9","100%",,"1.93","6.58",,"4","5",,"ABEMACICLIB","VERZENIO"
"9014","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","8","100%",,"1.78","6.07",,"2","6",,"DULAGLUTIDE","TRULICITY"
"9015","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,"1.96","7.27",,"3","4",,"LUMATEPERONE TOSYLATE","CAPLYTA"
"9016","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,,"7.29",,"0","7",,"LIFITEGRAST","XIIDRA"
"9017","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,"2.49","6.25",,"3","4",,"LAMOTRIGINE","LAMOTRIGINE, LAMOTRIGINE ER"
"9018","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","6","100%",,"2.53","3.06",,"2","4",,"ELTROMBOPAG OLAMINE","PROMACTA"
"9019","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","4",,"100%","24.78","29.18",,"3","1",,"EVOLOCUMAB","REPATHA SURECLICK"
"9020","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"100%","12.24",,,"2","0",,"ADALIMUMAB","HUMIRA (2 PEN)"
"9021","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"100%",,"25.65",,"0","2",,"PENTOSAN POLYSULFATE SODIUM","ELMIRON"
"9022","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"100%","16.54","46.99",,"1","1",,"OXYCODONE W/ ACETAMINOPHEN","OXYCODONE-ACETAMINOPHEN"
"9023","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"100%","4.51",,,"2","0",,"IVABRADINE HCL","CORLANOR"
"9024","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","2",,"100%",,"47.28",,"0","2",,"ERENUMAB-AOOE","AIMOVIG"
"9025","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"100%",,"21.81",,"0","1",,"RIBOCICLIB SUCCINATE","KISQALI (600 MG DOSE)"
"9026","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"100%","15.7",,,"1","0",,"SEMAGLUTIDE","OZEMPIC (0.25 OR 0.5 MG/DOSE)"
"9027","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"100%",,"23.08",,"0","1",,"BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE"
"9028","Carrier I","2024","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","1",,"100%","5.42",,,"1","0",,"BUPRENORPHINE","BUPRENORPHINE"
"9029","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","32666","THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT","3","100%",,,,,"1","2",,"NA","NA"
"9030","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","32674","THORCOSCPY W/MEDIASTINL  AND  REGIONL LYMPHDENECTOMY","3","33.33%",,,,,,"3",,"NA","NA"
"9031","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33259","ATRIA ABLTJ  AND  RCNSTJ W/OTHER PX EXTEN W/BYPASS","3","100%",,,,,"1","2",,"NA","NA"
"9032","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33405","RPLCMT PROST AORTIC VALVE OPEN XCP HOMOGRF/STENT","3","100%",,,,,,"3",,"NA","NA"
"9033","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33427","VLVP MITRAL VALVE W/BYPASS RAD RCNSTJ W/WO RING","3","100%",,,,,"1","2",,"NA","NA"
"9034","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","35371","TEAEC W/WO PATCH GRAFT COMMON FEMORAL","3","100%",,,,,,"3",,"NA","NA"
"9035","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93355","ECHO TEE GUID TCAT ICAR/VESSEL STRUCTURAL INTVN","3","100%",,,,,,"3",,"NA","NA"
"9036","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33340","PERQ CLSR TCAT L ATR APNDGE W/ENDOCARDIAL IMPLNT","2","100%",,,,,,"2",,"NA","NA"
"9037","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33361","REPLACE AORTIC VALVE PERQ FEMORAL ARTRY APPROACH","2","100%",,,,,"1","1",,"NA","NA"
"9038","Carrier G","2024","Inpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","33413","REPLACEMENT AORTIC AND PULMON VALVES ROSS PROCEDUR","2","100%",,,,,,"2",,"NA","NA"
"9039","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","32666","THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT","3","100%",,,,,"1","2",,"NA","NA"
"9040","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33259","ATRIA ABLTJ  AND  RCNSTJ W/OTHER PX EXTEN W/BYPASS","3","100%",,,,,"1","2",,"NA","NA"
"9041","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33405","RPLCMT PROST AORTIC VALVE OPEN XCP HOMOGRF/STENT","3","100%",,,,,,"3",,"NA","NA"
"9042","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33427","VLVP MITRAL VALVE W/BYPASS RAD RCNSTJ W/WO RING","3","100%",,,,,"1","2",,"NA","NA"
"9043","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","35371","TEAEC W/WO PATCH GRAFT COMMON FEMORAL","3","100%",,,,,,"3",,"NA","NA"
"9044","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93355","ECHO TEE GUID TCAT ICAR/VESSEL STRUCTURAL INTVN","3","100%",,,,,,"3",,"NA","NA"
"9045","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33340","PERQ CLSR TCAT L ATR APNDGE W/ENDOCARDIAL IMPLNT","2","100%",,,,,,"2",,"NA","NA"
"9046","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33361","REPLACE AORTIC VALVE PERQ FEMORAL ARTRY APPROACH","2","100%",,,,,"1","3",,"NA","NA"
"9047","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33413","REPLACEMENT AORTIC AND PULMON VALVES ROSS PROCEDUR","2","100%",,,,,,"2",,"NA","NA"
"9048","Carrier G","2024","Inpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","33416","VENTRICULOMYOTOMY-MYECTOMY","2","100%",,,,,"1","1",,"NA","NA"
"9049","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93306","ECHO TTHRC R-T 2D W/WOM-MODE COMPL SPEC AND COLR D","1,216","96.22%",,,,,"17","1,199",,"NA","NA"
"9050","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93971","DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY","208","98.08%",,,,,"12","196",,"NA","NA"
"9051","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93015","CV STRS TST XERS AND /OR RX CONT ECG W/SI AND R","203","93.6%",,,,,"2","201",,"NA","NA"
"9052","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93248","EXTERNAL ECG REC GT 7D LT 15D REVIEW  AND  INTERPRETATION","201","98.51%",,,,,,"201",,"NA","NA"
"9053","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","78452","MYOCARDIAL SPECT MULTIPLE STUDIES","192","92.71%",,,,,"3","189",,"NA","NA"
"9054","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93246","EXTERNAL ECG REC GT 7D LT 15D RECORDING","175","98.29%",,,,,,"175",,"NA","NA"
"9055","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93017","CV STRS TST XERS AND /OR RX CONT ECG TRCG ONLY","170","94.71%",,,,,,"170",,"NA","NA"
"9056","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","93970","DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY","156","94.87%",,,,,"4","152",,"NA","NA"
"9057","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","77334","TX DEVICES DESIGN  AND  CONSTRUCTION COMPLEX","154","97.4%",,,,,"14","140",,"NA","NA"
"9058","Carrier G","2024","Outpatient Med-Surg","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","77300","BASIC RADIATION DOSIMETRY CALCULATION","139","97.84%",,,,,"10","129",,"NA","NA"
"9059","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77301","NTSTY MODUL RADTHX PLN DOSE-VOL HISTOS","78","100%",,,,,"6","72",,"NA","NA"
"9060","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77338","MLC IMRT DESIGN  AND  CONSTRUCTION PER IMRT PLAN","75","100%",,,,,"6","69",,"NA","NA"
"9061","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77014","CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT","73","100%",,,,,"3","70",,"NA","NA"
"9062","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93325","DOP ECHOCARD COLOR FLOW VELOCITY MAPPING","72","100%",,,,,,"72",,"NA","NA"
"9063","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93308","ECHO TRANSTHORC R-T 2D W/WO M-MODE REC F-UP/LMTD","63","100%",,,,,,"63",,"NA","NA"
"9064","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93922","NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 2 LEVEL","52","100%",,,,,"3","49",,"NA","NA"
"9065","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77332","TX DEVICES DESIGN  AND  CONSTRUCTION SIMPLE","35","100%",,,,,"1","34",,"NA","NA"
"9066","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","77386","INTENSITY MODULATED RADIATION TX DLVR COMPLEX","34","100%",,,,,"2","32",,"NA","NA"
"9067","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93290","INTERROG DEV EVAL ICPMS PHYS/QHP IN PERSON","31","100%",,,,,,"31",,"NA","NA"
"9068","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","93280","PROGRAM EVAL IMPLANTABLE IN PERSN DUAL LD PACER","27","100%",,,,,,"27",,"NA","NA"
"9069","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","93970","DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY","1",,"0.48%",,,,"0","1",,"NA","NA"
"9070","Carrier G","2024","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","93306","ECHO TTHRC R-T 2D W/WOM-MODE COMPL SPEC AND COLR D","2",,"0.16%",,,,"0","2",,"NA","NA"
"9071","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90875","INDIV PSYCHOPHYS BIOFEED TRAIN W/PSYTX 30 MIN","1","100%",,,,,,"1",,"NA","NA"
"9072","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96116","NEUROBEHAVIORAL STATUS XM PHYS/QHP 1ST HOUR","1","0%",,,"11",,,"1",,"NA","NA"
"9073","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96121","NEUROBEHAVIORAL STATUS XM PHYS/QHP EA ADDL HOUR","1","0%",,,"11",,,"1",,"NA","NA"
"9074","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96132","NEUROPSYCHOLOGICAL TST EVAL PHYS/QHP 1ST HOUR","1","0%",,,"11",,,"1",,"NA","NA"
"9075","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96133","NEUROPSYCHOLOGICAL TST EVAL PHYS/QHP EA ADDL HR","1","0%",,,"11",,,"1",,"NA","NA"
"9076","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96136","PSYL/NRPSYCL TST PHYS/QHP 2 PLUS  TST 1ST 30 MIN","1","0%",,,"11",,,"1",,"NA","NA"
"9077","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96137","PSYCL/NRPSYCL TST PHYS/QHP 2 PLUS  TST EA ADDL 30 MIN","1","0%",,,"11",,,"1",,"NA","NA"
"9078","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96138","PSYCL/NRPSYCL TST TECH 2 PLUS  TST 1ST 30 MIN","1","0%",,,"11",,,"1",,"NA","NA"
"9079","Carrier G","2024","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","96139","PSYCL/NRPSYCL TST TECH 2 PLUS  TST EA ADDL 30 MIN","1","0%",,,"11",,,"1",,"NA","NA"
"9080","Carrier G","2024","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90875","INDIV PSYCHOPHYS BIOFEED TRAIN W/PSYTX 30 MIN","1","100%",,,,,,"1",,"NA","NA"
