Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A4232,SYRINGE W/NEEDLE INSULIN 3CC,28.0,,16.4,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,4.0,,5.2,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A6257,TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS,3.0,,11.2,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0554,RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS,132.0,,33.9,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,EXT AMB INFUSN PUMP INSULIN,22.0,,41.1,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor,32.0,,,,,,,missing,missing,denied
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A5120,SKIN BARRIER WIPES OR SWABS EACH,3.0,,65.0,,,,,missing,missing,denied
Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,missing,missing,test strips,14.0,6.57,45.22,,,,,missing,missing,approved
Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,missing,missing,test strips,14.0,6.57,45.22,,,,,missing,missing,approved
Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,missing,missing,test strips,14.0,6.57,45.22,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13.0,14.8,99.5,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,1.0,,24.0,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10.0,13.2,31.7,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29.0,7.9,37.9,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9.0,,38.5,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,13.0,12.2,22.0,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE,3.0,,,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4253,BLD GLU TEST/REAGT STRIPS HOME BLD GLU MON-50,2.0,,,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A5500,DIAB ONLY FIT CSTM PREP AND SPL SHOE MX DNSITY INSRT,1.0,,46.5,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,99499,UNLISTED EVALUATION AND MANAGEMENT SERVICE,1.0,69.1,,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13.0,14.8,95.5,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9274,EXTERNAL AMB INSULIN DEL SYSTEM DISPOSABLE EA,1.0,,56.9,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A5514,DIAB ONLY MX DEN INSRT DIRECT CARV CUSTOM FAB EA,1.0,,76.5,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4186,EPIFIX PER SQ CM,1.0,,24.0,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95249,CONT GLUC MONITORING PATIENT PROVIDED EQUIPTMENT,1.0,,18.5,,,,,missing,missing,approved
